slot_index_zero_based,item_id_decimal,item_id_hex,slot_kind,pret_gen2_english_label,original_gs_korean,latest_korean,final_korean,name_changed,change_category,verification_status,source_agreement,canonical_identifier,canonical_english,pokeapi_korean,pkhex_korean,pkhex_item_index,original_encoded_length_bytes,latest_encoded_length_bytes,record_byte_delta_with_terminator,latest_encoded_hex,bank_hex,cpu_address_hex,file_offset_hex,original_raw_hex,original_gs_korean_description,description_cpu_address_hex
60,61,0x3D,NAMED_ITEM,SUPER ROD,대단한 낚싯대,대단한낚싯대,대단한낚싯대,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,super-rod,Super Rod,대단한낚싯대,대단한낚싯대,447,13,12,-1,02 eb 02 dc 0a 71 02 3c 06 6b 02 eb,0x6C,0x4257,0x1B0257,02 eb 02 dc 0a 71 7f 02 3c 06 6b 02 eb,포켓몬을 낚기 위한 도구<NEXT>최고의 낚싯대로서 유명하다,0x49E3
61,62,0x3E,NAMED_ITEM,PP UP,포인트 업,포인트업,포인트업,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,pp-up,PP Up,포인트업,포인트업,51,9,8,-1,0a 27 07 9e 09 de 06 f7,0x6C,0x4265,0x1B0265,0a 27 07 9e 09 de 7f 06 f7,기술포인트의 최대치가 올라간다,0x4A16
62,63,0x3F,NAMED_ITEM,ETHER,PP 에이드,PP에이드,PP에이드,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,ether,Ether,PP에이드,PP에이드,38,9,8,-1,8f 8f 07 01 07 9c 03 45,0x6C,0x426F,0x1B026F,8f 8f 7f 07 01 07 9c 03 45,한가지의 기술포인트를<NEXT>10 회복시켜준다,0x4A35
63,64,0x40,NAMED_ITEM,MAX ETHER,PP 회복,PP회복,PP회복,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,max-ether,Max Ether,PP회복,PP회복,39,7,6,-1,8f 8f 0a b8 05 19,0x6C,0x4279,0x1B0279,8f 8f 7f 0a b8 05 19,한가지의 기술포인트를<NEXT>전부 회복시켜준다,0x4A5B
64,65,0x41,NAMED_ITEM,ELIXER,PP 에이더,PP에이더,PP에이더,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,elixir,Elixir,PP에이더,PP에이더,40,9,8,-1,8f 8f 07 01 07 9c 02 f5,0x6C,0x4281,0x1B0281,8f 8f 7f 07 01 07 9c 02 f5,모든 기술포인트를<NEXT>10 회복시켜준다,0x4A83
65,66,0x42,NAMED_ITEM,RED SCALE,빨간 비늘,빨간비늘,빨간비늘,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,red-scale,Red Scale,빨간비늘,빨간비늘,478,9,8,-1,05 71 01 03 05 61 02 c3,0x6C,0x428B,0x1B028B,05 71 01 03 7f 05 61 02 c3,분노의 호수에 나타난<NEXT>빨간 갸라도스의 비늘,0x4AA5
66,67,0x43,NAMED_ITEM,SECRETPOTION,비전 신약,비전신약,비전신약,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,secret-potion,Secret Potion,비전신약,비전신약,464,9,8,-1,05 61 07 cc 06 65 06 e0,0x6C,0x4295,0x1B0295,05 61 07 cc 7f 06 65 06 e0,어떠한 포켓몬이라도 건강해진다,0x4ACF
67,68,0x44,NAMED_ITEM,S.S.TICKET,승선 티켓,승선티켓,승선티켓,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,ss-ticket,S.S. Ticket,승선티켓,승선티켓,456,9,8,-1,06 62 05 e1 09 ec 09 2f,0x6C,0x429F,0x1B029F,06 62 05 e1 7f 09 ec 09 2f,쾌속선 아쿠아호에<NEXT>승선하기 위한 물건,0x4AEE
68,69,0x45,NAMED_ITEM,MYSTERY EGG,이상한 알,이상한알,이상한알,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,mystery-egg,Mystery Egg,이상한알,이상한알,484,9,8,-1,07 9c 05 c3 0a 71 06 cb,0x6C,0x42A9,0x1B02A9,07 9c 05 c3 0a 71 7f 06 cb,포켓몬 할아버지가 맡긴 것<NEXT>어떤 알인지 모른다,0x4B13
69,70,0x46,NAMED_ITEM,TERU-SAMA,크리스탈 방울,크리스탈방울,크리스탈방울,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,clear-bell,Clear Bell,크리스탈방울,크리스탈방울,474,13,12,-1,09 79 04 3e 06 4a 09 8b 04 e6 07 4f,0x6C,0x42B3,0x1B02B3,09 79 04 3e 06 4a 09 8b 7f 04 e6 07 4f,?,0x4B40
70,71,0x47,NAMED_ITEM,SILVER WING,은빛 날개,은빛깃털,은빛깃털,True,RENAMED_OR_SPELLING,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,silver-wing,Silver Wing,은빛깃털,은빛깃털,482,9,8,-1,07 8a 05 6b 01 ba 09 a0,0x6C,0x42C1,0x1B02C1,07 8a 05 6b 7f 02 3f 01 13,은빛으로 빛나는 신비한 날개,0x4B43
71,72,0x48,NAMED_ITEM,MOOMOO MILK,튼튼 밀크,튼튼밀크,튼튼밀크,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,moomoo-milk,Moomoo Milk,튼튼밀크,튼튼밀크,33,9,8,-1,09 e0 09 e0 04 d0 09 79,0x6C,0x42CB,0x1B02CB,09 e0 09 e0 7f 04 d0 09 79,영양만점<NEXT>체력을 100 회복시켜준다,0x4B5F
72,73,0x49,NAMED_ITEM,QUICK CLAW,선제공격 손톱,선제공격손톱,선제공격손톱,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,quick-claw,Quick Claw,선제공격손톱,선제공격손톱,217,13,12,-1,05 e1 07 d6 01 68 01 3d 06 05 09 b9,0x6C,0x42D5,0x1B02D5,05 e1 07 d6 01 68 01 3d 7f 06 05 09 b9,지니게 하면 가끔씩<NEXT>선제공격을 할 수 있다,0x4B80
73,74,0x4A,NAMED_ITEM,PSNCUREBERRY,해독열매,복슝열매,복슝열매,True,GENERATION_SUCCESSOR_NAME,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,pecha-berry,Pecha Berry,복슝열매,복슝열매,151,8,8,0,05 19 06 49 07 0d 04 65,0x6C,0x42E3,0x1B02E3,0a 78 03 16 07 0d 04 65,지니게 하면 자신이<NEXT>중독상태를 회복시킨다,0x4BA9
74,75,0x4B,NAMED_ITEM,GOLD LEAF,금빛 나뭇잎,금빛잎사귀,금빛잎사귀,True,RENAMED_OR_SPELLING,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,gold-leaf,Gold Leaf,금빛잎사귀,금빛잎사귀,890,11,10,-1,01 ad 05 6b 07 a9 05 b7 01 9d,0x6C,0x42EC,0x1B02EC,01 ad 05 6b 7f 02 3a 04 b5 07 a9,금빛의 이상한 잎사귀,0x4BD2
75,76,0x4C,NAMED_ITEM,SOFT SAND,부드러운 모래,부드러운모래,부드러운모래,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,soft-sand,Soft Sand,부드러운모래,부드러운모래,237,13,12,-1,05 2e 03 45 03 df 07 4e 04 90 03 d1,0x6C,0x42F8,0x1B02F8,05 2e 03 45 03 df 07 4e 7f 04 90 03 d1,지니게하면 땅타입의<NEXT>기술의 위력이 올라간다,0x4BE7
76,77,0x4D,NAMED_ITEM,SHARP BEAK,예리한 부리,예리한부리,예리한부리,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,sharp-beak,Sharp Beak,예리한부리,예리한부리,244,11,10,-1,07 19 04 3e 0a 71 05 2e 04 3e,0x6C,0x4306,0x1B0306,07 19 04 3e 0a 71 7f 05 2e 04 3e,지니게 하면 비행타입의<NEXT>기술의 위력이 올라간다,0x4C12
77,78,0x4E,NAMED_ITEM,PRZCUREBERRY,마비치료열매,버치열매,버치열매,True,GENERATION_SUCCESSOR_NAME,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,cheri-berry,Cheri Berry,버치열매,버치열매,149,12,8,-4,04 f6 09 01 07 0d 04 65,0x6C,0x4312,0x1B0312,04 46 05 61 09 01 04 11 07 0d 04 65,지니게 하면 자신이<NEXT>마비상태를 회복시킨다,0x4C40
78,79,0x4F,NAMED_ITEM,BURNT BERRY,불탄 나무열매,배리열매,배리열매,True,GENERATION_SUCCESSOR_NAME,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,aspear-berry,Aspear Berry,배리열매,배리열매,153,13,8,-5,04 e8 04 3e 07 0d 04 65,0x6C,0x431F,0x1B031F,05 32 09 8a 7f 02 3a 04 ab 07 0d 04 65,지니게 하면 자신이<NEXT>얼음상태를 회복시킨다,0x4C69
79,80,0x50,NAMED_ITEM,ICE BERRY,얼은 나무열매,복분열매,복분열매,True,GENERATION_SUCCESSOR_NAME,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,rawst-berry,Rawst Berry,복분열매,복분열매,152,13,8,-5,05 19 05 30 07 0d 04 65,0x6C,0x432D,0x1B032D,06 f3 07 8a 7f 02 3a 04 ab 07 0d 04 65,지니게 하면 자신이<NEXT>화상상태를 회복시킨다,0x4C92
80,81,0x51,NAMED_ITEM,POISON BARB,독바늘,독바늘,독바늘,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,poison-barb,Poison Barb,독바늘,독바늘,245,6,6,0,03 16 04 d9 02 c3,0x6C,0x433B,0x1B033B,03 16 04 d9 02 c3,지니게 하면 독타입의<NEXT>기술의 위력이 올라간다,0x4CBB
81,82,0x52,NAMED_ITEM,KING'S ROCK,왕의 징표석,왕의징표석,왕의징표석,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,kings-rock,King’s Rock,왕의징표석,왕의징표석,221,11,10,-1,07 35 07 97 08 31 0a 35 05 de,0x6C,0x4342,0x1B0342,07 35 07 97 7f 08 31 0a 35 05 de,지니게 하면 가끔씩<NEXT>싸울 상대의 포켓몬이 기가 꺾인다,0x4CE7
82,83,0x53,NAMED_ITEM,BITTER BERRY,쓴맛 나무열매,시몬열매,시몬열매,True,GENERATION_SUCCESSOR_NAME,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,persim-berry,Persim Berry,시몬열매,시몬열매,156,13,8,-5,06 63 04 93 07 0d 04 65,0x6C,0x434E,0x1B034E,06 b4 04 60 7f 02 3a 04 ab 07 0d 04 65,지니게 하면 자신이<NEXT>혼란상태를 회복시킨다,0x4D1B
83,84,0x54,NAMED_ITEM,MINT BERRY,박하열매,유루열매,유루열매,True,GENERATION_SUCCESSOR_NAME,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,chesto-berry,Chesto Berry,유루열매,유루열매,150,8,8,0,07 7f 04 17 07 0d 04 65,0x6C,0x435C,0x1B035C,04 da 0a 6f 07 0d 04 65,지니게 하면 자신이<NEXT>졸음상태를 회복시킨다,0x4D44
84,85,0x55,NAMED_ITEM,RED APRICORN,빨간 규토리,빨간규토리,빨간규토리,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,red-apricorn,Red Apricorn,빨간규토리,빨간규토리,485,11,10,-1,05 71 01 03 01 a4 09 b4 04 3e,0x6C,0x4365,0x1B0365,05 71 01 03 7f 01 a4 09 b4 04 3e,빨간색 규토리,0x4D6D
85,86,0x56,NAMED_ITEM,TINYMUSHROOM,작은 버섯,작은버섯,작은버섯,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,tiny-mushroom,Tiny Mushroom,작은버섯,작은버섯,86,9,8,-1,07 ab 07 8a 04 f6 05 e8,0x6C,0x4371,0x1B0371,07 ab 07 8a 7f 04 f6 05 e8,보통의 버섯<NEXT>싸게 팔린다,0x4D7B
86,87,0x57,NAMED_ITEM,BIG MUSHROOM,큰 버섯,큰버섯,큰버섯,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,big-mushroom,Big Mushroom,큰버섯,큰버섯,87,7,6,-1,09 7b 04 f6 05 e8,0x6C,0x437B,0x1B037B,09 7b 7f 04 f6 05 e8,진귀한 버섯<NEXT>비싸게 팔린다,0x4D93
87,88,0x58,NAMED_ITEM,SILVERPOWDER,은빛 가루,은빛가루,은빛가루,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,silver-powder,Silver Powder,은빛가루,은빛가루,222,9,8,-1,07 8a 05 6b 01 01 04 17,0x6C,0x4383,0x1B0383,07 8a 05 6b 7f 01 01 04 17,지니게 하면 벌레타입의<NEXT>기술의 위력이 올라간다,0x4DAD
88,89,0x59,NAMED_ITEM,BLU APRICORN,파란 규토리,파란규토리,파란규토리,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,blue-apricorn,Blue Apricorn,파란규토리,파란규토리,486,11,10,-1,09 f4 03 c5 01 a4 09 b4 04 3e,0x6C,0x438D,0x1B038D,09 f4 03 c5 7f 01 a4 09 b4 04 3e,파란색 규토리,0x4DDB
89,90,0x5A,UNUSED_OR_INTERNAL,TERU-SAMA,?,?,?,False,UNCHANGED,UNUSED_OR_INTERNAL_SLOT_PRESERVED,NOT_APPLICABLE,,,,,,2,2,0,0b 67,0x6C,0x4399,0x1B0399,0b 67,?,0x4DE9
90,91,0x5B,NAMED_ITEM,AMULET COIN,부적 금화,부적금화,부적금화,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,amulet-coin,Amulet Coin,부적금화,부적금화,223,9,8,-1,05 2e 07 cb 01 ad 0a ad,0x6C,0x439C,0x1B039C,05 2e 07 cb 7f 01 ad 0a ad,지니게 한 포켓몬을 싸움에<NEXT>내보내면 받을 수 있는 돈이 2배,0x4DEC
91,92,0x5C,NAMED_ITEM,YLW APRICORN,노랑 규토리,노랑규토리,노랑규토리,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,yellow-apricorn,Yellow Apricorn,노랑규토리,노랑규토리,487,11,10,-1,02 8b 03 cb 01 a4 09 b4 04 3e,0x6C,0x43A6,0x1B03A6,02 8b 03 cb 7f 01 a4 09 b4 04 3e,노란색 규토리,0x4E25
92,93,0x5D,NAMED_ITEM,GRN APRICORN,초록 규토리,초록규토리,초록규토리,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,green-apricorn,Green Apricorn,초록규토리,초록규토리,488,11,10,-1,08 ca 03 ff 01 a4 09 b4 04 3e,0x6C,0x43B2,0x1B03B2,08 ca 03 ff 7f 01 a4 09 b4 04 3e,녹색 규토리,0x4E33
93,94,0x5E,NAMED_ITEM,CLEANSE TAG,순결의 부적,순결의부적,순결의부적,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,cleanse-tag,Cleanse Tag,순결의부적,순결의부적,224,11,10,-1,06 28 01 41 07 97 05 2e 07 cb,0x6C,0x43BE,0x1B03BE,06 28 01 41 07 97 7f 05 2e 07 cb,지니게 하면 야생포켓몬과<NEXT>마주치기 어렵게 된다,0x4E3F
94,95,0x5F,NAMED_ITEM,MYSTIC WATER,신비의 물방울,신비의물방울,신비의물방울,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,mystic-water,Mystic Water,신비의물방울,신비의물방울,243,13,12,-1,06 65 05 61 07 97 04 b0 04 e6 07 4f,0x6C,0x43CA,0x1B03CA,06 65 05 61 07 97 7f 04 b0 04 e6 07 4f,지니게 하면 물타입의<NEXT>기술의 위력이 올라간다,0x4E6D
95,96,0x60,NAMED_ITEM,TWISTEDSPOON,휘어진 스푼,휘어진스푼,휘어진스푼,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,twisted-spoon,Twisted Spoon,휘어진스푼,휘어진스푼,248,11,10,-1,0a d6 06 ee 08 28 06 4a 0a 3c,0x6C,0x43D8,0x1B03D8,0a d6 06 ee 08 28 7f 06 4a 0a 3c,지니게 하면 에스퍼타입의<NEXT>기술의 위력이 올라간다,0x4E99
96,97,0x61,NAMED_ITEM,WHT APRICORN,하얀 규토리,하얀규토리,하얀규토리,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,white-apricorn,White Apricorn,하얀규토리,하얀규토리,490,11,10,-1,0a 6f 06 e1 01 a4 09 b4 04 3e,0x6C,0x43E4,0x1B03E4,0a 6f 06 e1 7f 01 a4 09 b4 04 3e,하얀색 규토리,0x4EC9
97,98,0x62,NAMED_ITEM,BLACKBELT,검은띠,검은띠,검은띠,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,black-belt,Black Belt,검은띠,검은띠,241,6,6,0,01 2b 07 8a 03 bc,0x6C,0x43F0,0x1B03F0,01 2b 07 8a 03 bc,지니게 하면 격투타입의<NEXT>기술의 위력이 올라간다,0x4ED7
98,99,0x63,NAMED_ITEM,BLK APRICORN,검은 규토리,검은규토리,검은규토리,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,black-apricorn,Black Apricorn,검은규토리,검은규토리,491,11,10,-1,01 2b 07 8a 01 a4 09 b4 04 3e,0x6C,0x43F7,0x1B03F7,01 2b 07 8a 7f 01 a4 09 b4 04 3e,검은색 규토리,0x4F05
99,100,0x64,UNUSED_OR_INTERNAL,TERU-SAMA,?,?,?,False,UNCHANGED,UNUSED_OR_INTERNAL_SLOT_PRESERVED,NOT_APPLICABLE,,,,,,2,2,0,0b 67,0x6C,0x4403,0x1B0403,0b 67,?,0x4F13
100,101,0x65,NAMED_ITEM,PNK APRICORN,담홍 규토리,담홍규토리,담홍규토리,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,pink-apricorn,Pink Apricorn,담홍규토리,담홍규토리,489,11,10,-1,02 e3 0a ab 01 a4 09 b4 04 3e,0x6C,0x4406,0x1B0406,02 e3 0a ab 7f 01 a4 09 b4 04 3e,복숭아색 규토리,0x4F16
101,102,0x66,NAMED_ITEM,BLACKGLASSES,검은 안경,검은안경,검은안경,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,black-glasses,Black Glasses,검은안경,검은안경,240,9,8,-1,01 2b 07 8a 06 c8 01 46,0x6C,0x4412,0x1B0412,01 2b 07 8a 7f 06 c8 01 46,지니게 하면 악타입의<NEXT>기술의 위력이 올라간다,0x4F26
102,103,0x67,NAMED_ITEM,SLOWPOKETAIL,맛있는 꼬리,맛있는꼬리,맛있는꼬리,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,slowpoke-tail,Slowpoke Tail,맛있는꼬리,맛있는꼬리,473,11,10,-1,04 60 07 a6 02 c2 01 ef 04 3e,0x6C,0x441C,0x1B041C,04 60 07 a6 02 c2 7f 01 ef 04 3e,매우 맛있음<NEXT>비싸게 팔린다,0x4F52
103,104,0x68,NAMED_ITEM,PINK BOW,핑크빛 리본,핑크빛 리본,핑크빛 리본,False,UNCHANGED,LEGACY_OFFICIAL_GS_KOREAN_RETAINED,NO_CURRENT_MIRROR_ROW,,,,,,11,11,0,0a 6e 09 79 05 6b 7f 04 3e 05 1b,0x6C,0x4428,0x1B0428,0a 6e 09 79 05 6b 7f 04 3e 05 1b,지니게 하면 노말타입의<NEXT>기술의 위력이 올라간다,0x4F6C
104,105,0x69,NAMED_ITEM,STICK,대파,대파,대파,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,stick,Leek,대파,대파,259,4,4,0,02 eb 09 f4,0x6C,0x4434,0x1B0434,02 eb 09 f4,보통의 대파<NEXT>싸게 팔린다,0x4F9A
105,106,0x6A,NAMED_ITEM,SMOKE BALL,연막탄,연막탄,연막탄,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,smoke-ball,Smoke Ball,연막탄,연막탄,228,6,6,0,07 0c 04 47 09 8a,0x6C,0x4439,0x1B0439,07 0c 04 47 09 8a,우연히 마주친 야생포켓몬에게서<NEXT>반드시 도망칠 수 있다,0x4FB2
106,107,0x6B,NAMED_ITEM,NEVERMELTICE,녹지않는 얼음,녹지않는얼음,녹지않는얼음,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,never-melt-ice,Never-Melt Ice,녹지않는얼음,녹지않는얼음,246,13,12,-1,02 8c 08 26 06 ca 02 c2 06 f3 07 8d,0x6C,0x4440,0x1B0440,02 8c 08 26 06 ca 02 c2 7f 06 f3 07 8d,지니게 하면 얼음 타입의<NEXT>기술의 위력이 올라간다,0x4FE7
107,108,0x6C,NAMED_ITEM,MAGNET,자석,자석,자석,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,magnet,Magnet,자석,자석,242,4,4,0,07 aa 05 de,0x6C,0x444E,0x1B044E,07 aa 05 de,지니게 하면 전기타입의<NEXT>기술의 위력이 올라간다,0x5016
108,109,0x6D,NAMED_ITEM,MIRACLEBERRY,기적의 열매,리샘열매,리샘열매,True,GENERATION_SUCCESSOR_NAME,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,lum-berry,Lum Berry,리샘열매,리샘열매,157,11,8,-3,04 3e 05 c9 07 0d 04 65,0x6C,0x4453,0x1B0453,01 b2 07 cb 07 97 7f 07 0d 04 65,지니게 하면 자신이 모든<NEXT>상태 이상을 회복시킨다,0x5044
109,110,0x6E,NAMED_ITEM,PEARL,진주,진주,진주,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,pearl,Pearl,진주,진주,88,4,4,0,08 28 08 06,0x6C,0x445F,0x1B045F,08 28 08 06,아름다운 진주<NEXT>싸게 팔린다,0x5073
110,111,0x6F,NAMED_ITEM,BIG PEARL,큰 진주,큰진주,큰진주,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,big-pearl,Big Pearl,큰진주,큰진주,89,7,6,-1,09 7b 08 28 08 06,0x6C,0x4464,0x1B0464,09 7b 7f 08 28 08 06,아름답고 알이 큰 진주<NEXT>비싸게 팔린다,0x508D
111,112,0x70,NAMED_ITEM,EVERSTONE,변함없는 돌,변함없는돌,변함없는돌,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,everstone,Everstone,변함없는돌,변함없는돌,229,11,10,-1,05 0f 0a 74 06 f8 02 c2 03 19,0x6C,0x446C,0x1B046C,05 0f 0a 74 06 f8 02 c2 7f 03 19,지니게 한 포켓몬이 진화<NEXT>하지 못하게 되는 이상한 돌,0x50B1
112,113,0x71,NAMED_ITEM,SPELL TAG,저주의 부적,저주의부적,저주의부적,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,spell-tag,Spell Tag,저주의부적,저주의부적,247,11,10,-1,07 ca 08 06 07 97 05 2e 07 cb,0x6C,0x4478,0x1B0478,07 ca 08 06 07 97 7f 05 2e 07 cb,지니게 하면 고스트타입의<NEXT>기술의 위력이 올라간다,0x50E4
113,114,0x72,NAMED_ITEM,RAGECANDYBAR,분노의 호두과자,분노의호두과자,분노의호두과자,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,rage-candy-bar,Rage Candy Bar,분노의호두과자,분노의호두과자,504,15,14,-1,05 30 02 8b 07 97 0a a3 03 2e 01 6a 07 aa,0x6C,0x4484,0x1B0484,05 30 02 8b 07 97 7f 0a a3 03 2e 01 6a 07 aa,황토마을의 명물인 호두과자<NEXT>체력을 20 회복시켜준다,0x5114
114,115,0x73,NAMED_ITEM,TERU-SAMA,GS볼,GS볼,GS볼,False,UNCHANGED,LEGACY_OFFICIAL_GS_KOREAN_RETAINED,NO_CURRENT_MIRROR_ROW,,,,,,4,4,0,86 92 05 1c,0x6C,0x4494,0x1B0494,86 92 05 1c,?,0x5146
115,116,0x74,NAMED_ITEM,TERU-SAMA,블루카드,블루카드,블루카드,False,UNCHANGED,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,blue-card,Blue Card,블루카드,블루카드,472,8,8,0,05 4d 04 17 09 0b 03 45,0x6C,0x4499,0x1B0499,05 4d 04 17 09 0b 03 45,?,0x5149
116,117,0x75,NAMED_ITEM,MIRACLE SEED,기적의 씨,기적의씨,기적의씨,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,miracle-seed,Miracle Seed,기적의씨,기적의씨,239,9,8,-1,01 b2 07 cb 07 97 06 be,0x6C,0x44A2,0x1B04A2,01 b2 07 cb 07 97 7f 06 be,지니게 하면 풀타입의<NEXT>기술의 위력이 올라간다,0x514C
117,118,0x76,NAMED_ITEM,THICK CLUB,굵은 뼈,굵은뼈,굵은뼈,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,thick-club,Thick Club,굵은뼈,굵은뼈,258,7,6,-1,01 8d 07 8a 05 90,0x6C,0x44AC,0x1B04AC,01 8d 07 8a 7f 05 90,무언가의 뼈<NEXT>싸게 팔린다,0x5178
118,119,0x77,NAMED_ITEM,FOCUS BAND,기합의 머리띠,기합의머리띠,기합의머리띠,True,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,focus-band,Focus Band,기합의머리띠,기합의머리띠,230,13,12,-1,01 b2 0a 75 07 97 04 73 04 3e 03 bc,0x6C,0x44B4,0x1B04B4,01 b2 0a 75 07 97 7f 04 73 04 3e 03 bc,지니고 있는 포켓몬은<NEXT>기절하지 않을 때도 있다,0x5190
