national_dex,identifier,source_species_token,introduced_generation,hp,attack,defense,speed,sp_attack,sp_defense,type1_token,type2_token,type1_id,type2_id,catch_rate,base_exp,held_item_common,held_item_rare,held_item_common_id,held_item_rare_id,gender_token,gender_threshold,hatch_cycles,friendship_base,friendship_source_token,growth_token,growth_id,egg_group1_token,egg_group2_token,egg_group1_id,egg_group2_id,tmhm_tokens,tmhm_flag_count,tmhm_bits_hex,source_path
38,ninetales,NINETALES,1,73,76,75,100,81,100,FIRE,FIRE,9,9,75,178,BURNT_BERRY,BURNT_BERRY,79,79,GENDER_F75,191,20,70,BASE_HAPPINESS,GROWTH_MEDIUM_FAST,0,EGG_GROUND,EGG_GROUND,5,5,HEADBUTT|CURSE|ROAR|TOXIC|HIDDEN_POWER|SUNNY_DAY|SNORE|HYPER_BEAM|PROTECT|ENDURE|FRUSTRATION|IRON_TAIL|RETURN|DIG|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|FIRE_BLAST|SWIFT|REST|ATTRACT|FLAMETHROWER,60,3656598c66180002,pokecrystal/data/pokemon/base_stats/ninetales.asm
39,jigglypuff,JIGGLYPUFF,1,115,45,20,20,45,25,NORMAL,NORMAL,0,0,170,76,NO_ITEM,NO_ITEM,0,0,GENDER_F75,191,10,70,BASE_HAPPINESS,GROWTH_FAST,4,EGG_FAIRY,EGG_FAIRY,6,6,DYNAMICPUNCH|HEADBUTT|CURSE|ROLLOUT|TOXIC|ZAP_CANNON|PSYCH_UP|HIDDEN_POWER|SUNNY_DAY|SNORE|BLIZZARD|PROTECT|RAIN_DANCE|ENDURE|FRUSTRATION|SOLARBEAM|THUNDER|RETURN|PSYCHIC_M|SHADOW_BALL|MUD_SLAP|DOUBLE_TEAM|ICE_PUNCH|SWAGGER|SLEEP_TALK|FIRE_BLAST|DEFENSE_CURL|THUNDERPUNCH|DREAM_EATER|DETECT|REST|ATTRACT|FIRE_PUNCH|NIGHTMARE|STRENGTH|FLASH|FLAMETHROWER|THUNDERBOLT|ICE_BEAM,60,6f373bf5a79f620e,pokecrystal/data/pokemon/base_stats/jigglypuff.asm
40,wigglytuff,WIGGLYTUFF,1,140,70,45,45,75,50,NORMAL,NORMAL,0,0,50,109,NO_ITEM,NO_ITEM,0,0,GENDER_F75,191,10,70,BASE_HAPPINESS,GROWTH_FAST,4,EGG_FAIRY,EGG_FAIRY,6,6,DYNAMICPUNCH|HEADBUTT|CURSE|ROLLOUT|TOXIC|ZAP_CANNON|PSYCH_UP|HIDDEN_POWER|SUNNY_DAY|SNORE|BLIZZARD|HYPER_BEAM|PROTECT|RAIN_DANCE|ENDURE|FRUSTRATION|SOLARBEAM|THUNDER|RETURN|PSYCHIC_M|SHADOW_BALL|MUD_SLAP|DOUBLE_TEAM|ICE_PUNCH|SWAGGER|SLEEP_TALK|FIRE_BLAST|DEFENSE_CURL|THUNDERPUNCH|DREAM_EATER|DETECT|REST|ATTRACT|FIRE_PUNCH|NIGHTMARE|STRENGTH|FLASH|FLAMETHROWER|THUNDERBOLT|ICE_BEAM,60,6f773bf5a79f620e,pokecrystal/data/pokemon/base_stats/wigglytuff.asm
41,zubat,ZUBAT,1,40,45,35,55,30,40,POISON,FLYING,3,2,255,54,NO_ITEM,NO_ITEM,0,0,GENDER_F50,127,15,70,BASE_HAPPINESS,GROWTH_MEDIUM_FAST,0,EGG_FLYING,EGG_FLYING,4,4,CURSE|TOXIC|HIDDEN_POWER|SUNNY_DAY|SNORE|PROTECT|GIGA_DRAIN|ENDURE|FRUSTRATION|RETURN|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|SWIFT|DETECT|REST|ATTRACT|THIEF|STEEL_WING,60,24161d84467c0000,pokecrystal/data/pokemon/base_stats/zubat.asm
42,golbat,GOLBAT,1,75,80,70,90,65,75,POISON,FLYING,3,2,90,171,NO_ITEM,NO_ITEM,0,0,GENDER_F50,127,15,70,BASE_HAPPINESS,GROWTH_MEDIUM_FAST,0,EGG_FLYING,EGG_FLYING,4,4,CURSE|TOXIC|HIDDEN_POWER|SUNNY_DAY|SNORE|HYPER_BEAM|PROTECT|GIGA_DRAIN|ENDURE|FRUSTRATION|RETURN|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|SWIFT|DETECT|REST|ATTRACT|THIEF|STEEL_WING,60,24561d84467c0000,pokecrystal/data/pokemon/base_stats/golbat.asm
43,oddish,ODDISH,1,45,50,55,30,75,65,GRASS,POISON,11,3,255,78,NO_ITEM,NO_ITEM,0,0,GENDER_F50,127,20,70,BASE_HAPPINESS,GROWTH_MEDIUM_SLOW,3,EGG_PLANT,EGG_PLANT,7,7,CURSE|TOXIC|HIDDEN_POWER|SUNNY_DAY|SWEET_SCENT|SNORE|PROTECT|GIGA_DRAIN|ENDURE|FRUSTRATION|SOLARBEAM|RETURN|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|SLUDGE_BOMB|REST|ATTRACT|CUT|FLASH,60,241e3d840e184400,pokecrystal/data/pokemon/base_stats/oddish.asm
44,gloom,GLOOM,1,60,65,70,40,85,75,GRASS,POISON,11,3,120,132,NO_ITEM,NO_ITEM,0,0,GENDER_F50,127,20,70,BASE_HAPPINESS,GROWTH_MEDIUM_SLOW,3,EGG_PLANT,EGG_PLANT,7,7,CURSE|TOXIC|HIDDEN_POWER|SUNNY_DAY|SWEET_SCENT|SNORE|PROTECT|GIGA_DRAIN|ENDURE|FRUSTRATION|SOLARBEAM|RETURN|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|SLUDGE_BOMB|REST|ATTRACT|CUT|FLASH,60,241e3d840e184400,pokecrystal/data/pokemon/base_stats/gloom.asm
45,vileplume,VILEPLUME,1,75,80,85,50,100,90,GRASS,POISON,11,3,45,184,NO_ITEM,NO_ITEM,0,0,GENDER_F50,127,20,70,BASE_HAPPINESS,GROWTH_MEDIUM_SLOW,3,EGG_PLANT,EGG_PLANT,7,7,CURSE|TOXIC|HIDDEN_POWER|SUNNY_DAY|SWEET_SCENT|SNORE|HYPER_BEAM|PROTECT|GIGA_DRAIN|ENDURE|FRUSTRATION|SOLARBEAM|RETURN|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|SLUDGE_BOMB|REST|ATTRACT|CUT|FLASH,60,245e3d840e184400,pokecrystal/data/pokemon/base_stats/vileplume.asm
46,paras,PARAS,1,35,70,55,25,45,55,BUG,GRASS,6,11,190,70,TINYMUSHROOM,BIG_MUSHROOM,86,87,GENDER_F50,127,20,70,BASE_HAPPINESS,GROWTH_MEDIUM_FAST,0,EGG_BUG,EGG_PLANT,3,7,CURSE|TOXIC|ROCK_SMASH|HIDDEN_POWER|SUNNY_DAY|SWEET_SCENT|SNORE|PROTECT|GIGA_DRAIN|ENDURE|FRUSTRATION|SOLARBEAM|RETURN|DIG|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|SLUDGE_BOMB|REST|ATTRACT|THIEF|FURY_CUTTER|CUT|FLASH,60,a41e3d8c0e384500,pokecrystal/data/pokemon/base_stats/paras.asm
47,parasect,PARASECT,1,60,95,80,30,60,80,BUG,GRASS,6,11,75,128,TINYMUSHROOM,BIG_MUSHROOM,86,87,GENDER_F50,127,20,70,BASE_HAPPINESS,GROWTH_MEDIUM_FAST,0,EGG_BUG,EGG_PLANT,3,7,CURSE|TOXIC|ROCK_SMASH|HIDDEN_POWER|SUNNY_DAY|SWEET_SCENT|SNORE|HYPER_BEAM|PROTECT|GIGA_DRAIN|ENDURE|FRUSTRATION|SOLARBEAM|RETURN|DIG|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|SLUDGE_BOMB|REST|ATTRACT|THIEF|FURY_CUTTER|CUT|FLASH,60,a45e3d8c0e384500,pokecrystal/data/pokemon/base_stats/parasect.asm
48,venonat,VENONAT,1,60,55,50,45,40,55,BUG,POISON,6,3,190,75,NO_ITEM,NO_ITEM,0,0,GENDER_F50,127,20,70,BASE_HAPPINESS,GROWTH_MEDIUM_FAST,0,EGG_BUG,EGG_BUG,3,3,CURSE|TOXIC|HIDDEN_POWER|SUNNY_DAY|SWEET_SCENT|SNORE|PROTECT|GIGA_DRAIN|ENDURE|FRUSTRATION|SOLARBEAM|RETURN|PSYCHIC_M|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|SLUDGE_BOMB|SWIFT|REST|ATTRACT|THIEF,60,241e3d944e380000,pokecrystal/data/pokemon/base_stats/venonat.asm
49,venomoth,VENOMOTH,1,70,65,60,90,90,75,BUG,POISON,6,3,75,138,NO_ITEM,NO_ITEM,0,0,GENDER_F50,127,20,70,BASE_HAPPINESS,GROWTH_MEDIUM_FAST,0,EGG_BUG,EGG_BUG,3,3,CURSE|TOXIC|HIDDEN_POWER|SUNNY_DAY|SWEET_SCENT|SNORE|HYPER_BEAM|PROTECT|GIGA_DRAIN|ENDURE|FRUSTRATION|SOLARBEAM|RETURN|PSYCHIC_M|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|SLUDGE_BOMB|SWIFT|REST|ATTRACT|THIEF|FLASH,60,245e3d944e384000,pokecrystal/data/pokemon/base_stats/venomoth.asm
50,diglett,DIGLETT,1,10,55,25,95,35,45,GROUND,GROUND,4,4,255,81,NO_ITEM,NO_ITEM,0,0,GENDER_F50,127,20,70,BASE_HAPPINESS,GROWTH_MEDIUM_FAST,0,EGG_GROUND,EGG_GROUND,5,5,CURSE|TOXIC|ROCK_SMASH|HIDDEN_POWER|SUNNY_DAY|SNORE|PROTECT|ENDURE|FRUSTRATION|EARTHQUAKE|RETURN|DIG|MUD_SLAP|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|SLUDGE_BOMB|REST|ATTRACT|THIEF|CUT,60,a41619ce0e380400,pokecrystal/data/pokemon/base_stats/diglett.asm
51,dugtrio,DUGTRIO,1,35,80,50,120,50,70,GROUND,GROUND,4,4,50,153,NO_ITEM,NO_ITEM,0,0,GENDER_F50,127,20,70,BASE_HAPPINESS,GROWTH_MEDIUM_FAST,0,EGG_GROUND,EGG_GROUND,5,5,CURSE|TOXIC|ROCK_SMASH|HIDDEN_POWER|SUNNY_DAY|SNORE|HYPER_BEAM|PROTECT|ENDURE|FRUSTRATION|EARTHQUAKE|RETURN|DIG|MUD_SLAP|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|SLUDGE_BOMB|REST|ATTRACT|THIEF|CUT,60,a45619ce0e380400,pokecrystal/data/pokemon/base_stats/dugtrio.asm
52,meowth,MEOWTH,1,40,45,35,90,40,40,NORMAL,NORMAL,0,0,255,69,NO_ITEM,NO_ITEM,0,0,GENDER_F50,127,20,70,BASE_HAPPINESS,GROWTH_MEDIUM_FAST,0,EGG_GROUND,EGG_GROUND,5,5,HEADBUTT|CURSE|TOXIC|ZAP_CANNON|PSYCH_UP|HIDDEN_POWER|SUNNY_DAY|SNORE|ICY_WIND|PROTECT|ENDURE|FRUSTRATION|IRON_TAIL|THUNDER|RETURN|SHADOW_BALL|MUD_SLAP|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|SWIFT|DEFENSE_CURL|DREAM_EATER|DETECT|REST|ATTRACT|THIEF|NIGHTMARE|THUNDERBOLT,60,669759e5c63e0204,pokecrystal/data/pokemon/base_stats/meowth.asm
53,persian,PERSIAN,1,65,70,60,115,65,65,NORMAL,NORMAL,0,0,90,148,NO_ITEM,NO_ITEM,0,0,GENDER_F50,127,20,70,BASE_HAPPINESS,GROWTH_MEDIUM_FAST,0,EGG_GROUND,EGG_GROUND,5,5,HEADBUTT|CURSE|ROAR|TOXIC|ZAP_CANNON|PSYCH_UP|HIDDEN_POWER|SUNNY_DAY|SNORE|HYPER_BEAM|ICY_WIND|PROTECT|ENDURE|FRUSTRATION|IRON_TAIL|THUNDER|RETURN|SHADOW_BALL|MUD_SLAP|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|SWIFT|DEFENSE_CURL|DREAM_EATER|DETECT|REST|ATTRACT|THIEF|NIGHTMARE|THUNDERBOLT,60,76d759e5c63e0204,pokecrystal/data/pokemon/base_stats/persian.asm
54,psyduck,PSYDUCK,1,50,52,48,55,65,50,WATER,WATER,10,10,190,80,NO_ITEM,NO_ITEM,0,0,GENDER_F50,127,20,70,BASE_HAPPINESS,GROWTH_MEDIUM_FAST,0,EGG_WATER_1,EGG_GROUND,2,5,DYNAMICPUNCH|HEADBUTT|CURSE|TOXIC|ROCK_SMASH|PSYCH_UP|HIDDEN_POWER|SNORE|BLIZZARD|ICY_WIND|PROTECT|RAIN_DANCE|ENDURE|FRUSTRATION|IRON_TAIL|RETURN|DIG|MUD_SLAP|DOUBLE_TEAM|ICE_PUNCH|SWAGGER|SLEEP_TALK|SWIFT|REST|ATTRACT|SURF|STRENGTH|FLASH|WHIRLPOOL|WATERFALL|ICE_BEAM,60,a7b35bcc4718f009,pokecrystal/data/pokemon/base_stats/psyduck.asm
55,golduck,GOLDUCK,1,80,82,78,85,95,80,WATER,WATER,10,10,75,174,NO_ITEM,NO_ITEM,0,0,GENDER_F50,127,20,70,BASE_HAPPINESS,GROWTH_MEDIUM_FAST,0,EGG_WATER_1,EGG_GROUND,2,5,DYNAMICPUNCH|HEADBUTT|CURSE|TOXIC|ROCK_SMASH|PSYCH_UP|HIDDEN_POWER|SNORE|BLIZZARD|HYPER_BEAM|ICY_WIND|PROTECT|RAIN_DANCE|ENDURE|FRUSTRATION|IRON_TAIL|RETURN|DIG|MUD_SLAP|DOUBLE_TEAM|ICE_PUNCH|SWAGGER|SLEEP_TALK|SWIFT|REST|ATTRACT|FURY_CUTTER|SURF|STRENGTH|FLASH|WHIRLPOOL|WATERFALL|ICE_BEAM,60,a7f35bcc4718f109,pokecrystal/data/pokemon/base_stats/golduck.asm
56,mankey,MANKEY,1,40,80,35,70,35,45,FIGHTING,FIGHTING,1,1,190,74,NO_ITEM,NO_ITEM,0,0,GENDER_F50,127,20,70,BASE_HAPPINESS,GROWTH_MEDIUM_FAST,0,EGG_GROUND,EGG_GROUND,5,5,DYNAMICPUNCH|HEADBUTT|CURSE|TOXIC|ROCK_SMASH|PSYCH_UP|HIDDEN_POWER|SUNNY_DAY|SNORE|PROTECT|ENDURE|FRUSTRATION|IRON_TAIL|THUNDER|RETURN|DIG|MUD_SLAP|DOUBLE_TEAM|ICE_PUNCH|SWAGGER|SLEEP_TALK|SWIFT|DEFENSE_CURL|THUNDERPUNCH|DETECT|REST|ATTRACT|THIEF|FIRE_PUNCH|STRENGTH|THUNDERBOLT,60,a71759cdc7bd2004,pokecrystal/data/pokemon/base_stats/mankey.asm
57,primeape,PRIMEAPE,1,65,105,60,95,60,70,FIGHTING,FIGHTING,1,1,75,149,NO_ITEM,NO_ITEM,0,0,GENDER_F50,127,20,70,BASE_HAPPINESS,GROWTH_MEDIUM_FAST,0,EGG_GROUND,EGG_GROUND,5,5,DYNAMICPUNCH|HEADBUTT|CURSE|TOXIC|ROCK_SMASH|PSYCH_UP|HIDDEN_POWER|SUNNY_DAY|SNORE|HYPER_BEAM|PROTECT|ENDURE|FRUSTRATION|IRON_TAIL|THUNDER|RETURN|DIG|MUD_SLAP|DOUBLE_TEAM|ICE_PUNCH|SWAGGER|SLEEP_TALK|SWIFT|DEFENSE_CURL|THUNDERPUNCH|DETECT|REST|ATTRACT|THIEF|FIRE_PUNCH|STRENGTH|THUNDERBOLT,60,a75759cdc7bd2004,pokecrystal/data/pokemon/base_stats/primeape.asm
58,growlithe,GROWLITHE,1,55,70,45,60,70,50,FIRE,FIRE,9,9,190,91,BURNT_BERRY,BURNT_BERRY,79,79,GENDER_F25,63,20,70,BASE_HAPPINESS,GROWTH_SLOW,5,EGG_GROUND,EGG_GROUND,5,5,HEADBUTT|CURSE|ROAR|TOXIC|ROCK_SMASH|HIDDEN_POWER|SUNNY_DAY|SNORE|PROTECT|ENDURE|FRUSTRATION|IRON_TAIL|DRAGONBREATH|RETURN|DIG|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|FIRE_BLAST|SWIFT|REST|ATTRACT|FLAMETHROWER,60,b616d98c66180002,pokecrystal/data/pokemon/base_stats/growlithe.asm
59,arcanine,ARCANINE,1,90,110,80,95,100,80,FIRE,FIRE,9,9,75,213,BURNT_BERRY,BURNT_BERRY,79,79,GENDER_F25,63,20,70,BASE_HAPPINESS,GROWTH_SLOW,5,EGG_GROUND,EGG_GROUND,5,5,HEADBUTT|CURSE|ROAR|TOXIC|ROCK_SMASH|HIDDEN_POWER|SUNNY_DAY|SNORE|HYPER_BEAM|PROTECT|ENDURE|FRUSTRATION|IRON_TAIL|DRAGONBREATH|RETURN|DIG|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|FIRE_BLAST|SWIFT|REST|ATTRACT|FLAMETHROWER,60,b656d98c66180002,pokecrystal/data/pokemon/base_stats/arcanine.asm
60,poliwag,POLIWAG,1,40,50,40,90,40,40,WATER,WATER,10,10,255,77,NO_ITEM,NO_ITEM,0,0,GENDER_F50,127,20,70,BASE_HAPPINESS,GROWTH_MEDIUM_SLOW,3,EGG_WATER_1,EGG_WATER_1,2,2,HEADBUTT|CURSE|TOXIC|HIDDEN_POWER|SNORE|BLIZZARD|ICY_WIND|PROTECT|RAIN_DANCE|ENDURE|FRUSTRATION|RETURN|PSYCHIC_M|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|DEFENSE_CURL|REST|ATTRACT|THIEF|SURF|WHIRLPOOL|WATERFALL|ICE_BEAM,60,26b21b9486389009,pokecrystal/data/pokemon/base_stats/poliwag.asm
61,poliwhirl,POLIWHIRL,1,65,65,65,90,50,50,WATER,WATER,10,10,120,131,NO_ITEM,KINGS_ROCK,0,82,GENDER_F50,127,20,70,BASE_HAPPINESS,GROWTH_MEDIUM_SLOW,3,EGG_WATER_1,EGG_WATER_1,2,2,HEADBUTT|CURSE|TOXIC|ROCK_SMASH|HIDDEN_POWER|SNORE|BLIZZARD|ICY_WIND|PROTECT|RAIN_DANCE|ENDURE|FRUSTRATION|EARTHQUAKE|RETURN|PSYCHIC_M|MUD_SLAP|DOUBLE_TEAM|ICE_PUNCH|SWAGGER|SLEEP_TALK|DEFENSE_CURL|DETECT|REST|ATTRACT|THIEF|SURF|STRENGTH|WHIRLPOOL|WATERFALL|ICE_BEAM,60,a6b21bd6873cb009,pokecrystal/data/pokemon/base_stats/poliwhirl.asm
62,poliwrath,POLIWRATH,1,90,85,95,70,70,90,WATER,FIGHTING,10,1,45,185,NO_ITEM,KINGS_ROCK,0,82,GENDER_F50,127,20,70,BASE_HAPPINESS,GROWTH_MEDIUM_SLOW,3,EGG_WATER_1,EGG_WATER_1,2,2,DYNAMICPUNCH|HEADBUTT|CURSE|TOXIC|ROCK_SMASH|HIDDEN_POWER|SNORE|BLIZZARD|HYPER_BEAM|ICY_WIND|PROTECT|RAIN_DANCE|ENDURE|FRUSTRATION|EARTHQUAKE|RETURN|PSYCHIC_M|MUD_SLAP|DOUBLE_TEAM|ICE_PUNCH|SWAGGER|SLEEP_TALK|DEFENSE_CURL|DETECT|REST|ATTRACT|THIEF|SURF|STRENGTH|WHIRLPOOL|WATERFALL|ICE_BEAM,60,a7f21bd6873cb009,pokecrystal/data/pokemon/base_stats/poliwrath.asm
63,abra,ABRA,1,25,20,15,90,105,55,PSYCHIC_TYPE,PSYCHIC_TYPE,13,13,200,73,NO_ITEM,NO_ITEM,0,0,GENDER_F25,63,20,70,BASE_HAPPINESS,GROWTH_MEDIUM_SLOW,3,EGG_HUMANSHAPE,EGG_HUMANSHAPE,8,8,DYNAMICPUNCH|HEADBUTT|CURSE|TOXIC|ZAP_CANNON|PSYCH_UP|HIDDEN_POWER|SUNNY_DAY|SNORE|PROTECT|RAIN_DANCE|ENDURE|FRUSTRATION|RETURN|PSYCHIC_M|SHADOW_BALL|DOUBLE_TEAM|ICE_PUNCH|SWAGGER|SLEEP_TALK|THUNDERPUNCH|DREAM_EATER|REST|ATTRACT|THIEF|FIRE_PUNCH|NIGHTMARE|FLASH,60,67171bb407bb4200,pokecrystal/data/pokemon/base_stats/abra.asm
64,kadabra,KADABRA,1,40,35,30,105,120,70,PSYCHIC_TYPE,PSYCHIC_TYPE,13,13,100,145,NO_ITEM,NO_ITEM,0,0,GENDER_F25,63,20,70,BASE_HAPPINESS,GROWTH_MEDIUM_SLOW,3,EGG_HUMANSHAPE,EGG_HUMANSHAPE,8,8,DYNAMICPUNCH|HEADBUTT|CURSE|TOXIC|ZAP_CANNON|PSYCH_UP|HIDDEN_POWER|SUNNY_DAY|SNORE|PROTECT|RAIN_DANCE|ENDURE|FRUSTRATION|RETURN|DIG|PSYCHIC_M|SHADOW_BALL|DOUBLE_TEAM|ICE_PUNCH|SWAGGER|SLEEP_TALK|THUNDERPUNCH|DREAM_EATER|REST|ATTRACT|THIEF|FIRE_PUNCH|NIGHTMARE|FLASH,60,67171bbc07bb4200,pokecrystal/data/pokemon/base_stats/kadabra.asm
65,alakazam,ALAKAZAM,1,55,50,45,120,135,85,PSYCHIC_TYPE,PSYCHIC_TYPE,13,13,50,186,NO_ITEM,NO_ITEM,0,0,GENDER_F25,63,20,70,BASE_HAPPINESS,GROWTH_MEDIUM_SLOW,3,EGG_HUMANSHAPE,EGG_HUMANSHAPE,8,8,DYNAMICPUNCH|HEADBUTT|CURSE|TOXIC|ZAP_CANNON|PSYCH_UP|HIDDEN_POWER|SUNNY_DAY|SNORE|HYPER_BEAM|PROTECT|RAIN_DANCE|ENDURE|FRUSTRATION|RETURN|DIG|PSYCHIC_M|SHADOW_BALL|DOUBLE_TEAM|ICE_PUNCH|SWAGGER|SLEEP_TALK|THUNDERPUNCH|DREAM_EATER|REST|ATTRACT|THIEF|FIRE_PUNCH|NIGHTMARE|FLASH,60,67571bbc07bb4200,pokecrystal/data/pokemon/base_stats/alakazam.asm
66,machop,MACHOP,1,70,80,50,35,35,35,FIGHTING,FIGHTING,1,1,180,88,NO_ITEM,NO_ITEM,0,0,GENDER_F25,63,20,70,BASE_HAPPINESS,GROWTH_MEDIUM_SLOW,3,EGG_HUMANSHAPE,EGG_HUMANSHAPE,8,8,DYNAMICPUNCH|HEADBUTT|CURSE|TOXIC|ROCK_SMASH|HIDDEN_POWER|SUNNY_DAY|SNORE|PROTECT|ENDURE|FRUSTRATION|EARTHQUAKE|RETURN|DIG|MUD_SLAP|DOUBLE_TEAM|ICE_PUNCH|SWAGGER|SLEEP_TALK|FIRE_BLAST|THUNDERPUNCH|DETECT|REST|ATTRACT|THIEF|FIRE_PUNCH|STRENGTH|FLAMETHROWER,60,a71619ce27bd2002,pokecrystal/data/pokemon/base_stats/machop.asm
67,machoke,MACHOKE,1,80,100,70,45,50,60,FIGHTING,FIGHTING,1,1,90,146,NO_ITEM,NO_ITEM,0,0,GENDER_F25,63,20,70,BASE_HAPPINESS,GROWTH_MEDIUM_SLOW,3,EGG_HUMANSHAPE,EGG_HUMANSHAPE,8,8,DYNAMICPUNCH|HEADBUTT|CURSE|TOXIC|ROCK_SMASH|HIDDEN_POWER|SUNNY_DAY|SNORE|PROTECT|ENDURE|FRUSTRATION|EARTHQUAKE|RETURN|DIG|MUD_SLAP|DOUBLE_TEAM|ICE_PUNCH|SWAGGER|SLEEP_TALK|FIRE_BLAST|THUNDERPUNCH|DETECT|REST|ATTRACT|THIEF|FIRE_PUNCH|STRENGTH|FLAMETHROWER,60,a71619ce27bd2002,pokecrystal/data/pokemon/base_stats/machoke.asm
68,machamp,MACHAMP,1,90,130,80,55,65,85,FIGHTING,FIGHTING,1,1,45,193,NO_ITEM,NO_ITEM,0,0,GENDER_F25,63,20,70,BASE_HAPPINESS,GROWTH_MEDIUM_SLOW,3,EGG_HUMANSHAPE,EGG_HUMANSHAPE,8,8,DYNAMICPUNCH|HEADBUTT|CURSE|TOXIC|ROCK_SMASH|HIDDEN_POWER|SUNNY_DAY|SNORE|HYPER_BEAM|PROTECT|ENDURE|FRUSTRATION|EARTHQUAKE|RETURN|DIG|MUD_SLAP|DOUBLE_TEAM|ICE_PUNCH|SWAGGER|SLEEP_TALK|FIRE_BLAST|THUNDERPUNCH|DETECT|REST|ATTRACT|THIEF|FIRE_PUNCH|STRENGTH|FLAMETHROWER,60,a75619ce27bd2002,pokecrystal/data/pokemon/base_stats/machamp.asm
69,bellsprout,BELLSPROUT,1,50,75,35,40,70,30,GRASS,POISON,11,3,255,84,NO_ITEM,NO_ITEM,0,0,GENDER_F50,127,20,70,BASE_HAPPINESS,GROWTH_MEDIUM_SLOW,3,EGG_PLANT,EGG_PLANT,7,7,CURSE|TOXIC|HIDDEN_POWER|SUNNY_DAY|SWEET_SCENT|SNORE|PROTECT|GIGA_DRAIN|ENDURE|FRUSTRATION|SOLARBEAM|RETURN|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|SLUDGE_BOMB|REST|ATTRACT|CUT|FLASH,60,241e3d840e184400,pokecrystal/data/pokemon/base_stats/bellsprout.asm
70,weepinbell,WEEPINBELL,1,65,90,50,55,85,45,GRASS,POISON,11,3,120,151,NO_ITEM,NO_ITEM,0,0,GENDER_F50,127,20,70,BASE_HAPPINESS,GROWTH_MEDIUM_SLOW,3,EGG_PLANT,EGG_PLANT,7,7,CURSE|TOXIC|HIDDEN_POWER|SUNNY_DAY|SWEET_SCENT|SNORE|PROTECT|GIGA_DRAIN|ENDURE|FRUSTRATION|SOLARBEAM|RETURN|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|SLUDGE_BOMB|REST|ATTRACT|CUT|FLASH,60,241e3d840e184400,pokecrystal/data/pokemon/base_stats/weepinbell.asm
71,victreebel,VICTREEBEL,1,80,105,65,70,100,60,GRASS,POISON,11,3,45,191,NO_ITEM,NO_ITEM,0,0,GENDER_F50,127,20,70,BASE_HAPPINESS,GROWTH_MEDIUM_SLOW,3,EGG_PLANT,EGG_PLANT,7,7,CURSE|TOXIC|HIDDEN_POWER|SUNNY_DAY|SWEET_SCENT|SNORE|HYPER_BEAM|PROTECT|GIGA_DRAIN|ENDURE|FRUSTRATION|SOLARBEAM|RETURN|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|SLUDGE_BOMB|REST|ATTRACT|CUT|FLASH,60,245e3d840e184400,pokecrystal/data/pokemon/base_stats/victreebel.asm
72,tentacool,TENTACOOL,1,40,40,35,70,50,100,WATER,POISON,10,3,190,105,NO_ITEM,NO_ITEM,0,0,GENDER_F50,127,20,70,BASE_HAPPINESS,GROWTH_SLOW,5,EGG_WATER_3,EGG_WATER_3,9,9,CURSE|TOXIC|HIDDEN_POWER|SNORE|BLIZZARD|ICY_WIND|PROTECT|RAIN_DANCE|GIGA_DRAIN|ENDURE|FRUSTRATION|RETURN|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|SLUDGE_BOMB|REST|ATTRACT|CUT|SURF|WHIRLPOOL|ICE_BEAM,60,24b21f840e189408,pokecrystal/data/pokemon/base_stats/tentacool.asm
73,tentacruel,TENTACRUEL,1,80,70,65,100,80,120,WATER,POISON,10,3,60,205,NO_ITEM,NO_ITEM,0,0,GENDER_F50,127,20,70,BASE_HAPPINESS,GROWTH_SLOW,5,EGG_WATER_3,EGG_WATER_3,9,9,CURSE|TOXIC|HIDDEN_POWER|SNORE|BLIZZARD|HYPER_BEAM|ICY_WIND|PROTECT|RAIN_DANCE|GIGA_DRAIN|ENDURE|FRUSTRATION|RETURN|DOUBLE_TEAM|SWAGGER|SLEEP_TALK|SLUDGE_BOMB|REST|ATTRACT|CUT|SURF|WHIRLPOOL|ICE_BEAM,60,24f21f840e189408,pokecrystal/data/pokemon/base_stats/tentacruel.asm
