slot_index_zero_based,lookup_species_byte_hex,slot_kind,national_dex_number,original_gs_korean,latest_official_korean,final_korean,name_changed,change_reason,verification_status,official_source,official_index_source,source_accessed_date,encoded_length_bytes,encoded_hex,fixed_slot_capacity_bytes,fits_fixed_slot,bank_hex,cpu_address_hex,file_offset_hex,original_raw_hex
80,0x51,NATIONAL_DEX_SPECIES,81,코일,코일,코일,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/121,https://pokemonkorea.co.kr/pokedex,2026-09-10,4,09 3a 07 9f,10,True,0x6C,0x4F6A,0x1B0F6A,09 3a 07 9f
81,0x52,NATIONAL_DEX_SPECIES,82,레어코일,레어코일,레어코일,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/122,https://pokemonkorea.co.kr/pokedex,2026-09-10,8,03 e9 06 ee 09 3a 07 9f,10,True,0x6C,0x4F74,0x1B0F74,03 e9 06 ee 09 3a 07 9f
82,0x53,NATIONAL_DEX_SPECIES,83,파오리,파오리,파오리,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/123,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,09 f4 07 20 04 3e,10,True,0x6C,0x4F7E,0x1B0F7E,09 f4 07 20 04 3e
83,0x54,NATIONAL_DEX_SPECIES,84,두두,두두,두두,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/125,https://pokemonkorea.co.kr/pokedex,2026-09-10,4,03 2e 03 2e,10,True,0x6C,0x4F88,0x1B0F88,03 2e 03 2e
84,0x55,NATIONAL_DEX_SPECIES,85,두트리오,두트리오,두트리오,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/126,https://pokemonkorea.co.kr/pokedex,2026-09-10,8,03 2e 09 de 04 3e 07 20,10,True,0x6C,0x4F92,0x1B0F92,03 2e 09 de 04 3e 07 20
85,0x56,NATIONAL_DEX_SPECIES,86,쥬쥬,쥬쥬,쥬쥬,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/127,https://pokemonkorea.co.kr/pokedex,2026-09-10,4,08 1a 08 1a,10,True,0x6C,0x4F9C,0x1B0F9C,08 1a 08 1a
86,0x57,NATIONAL_DEX_SPECIES,87,쥬레곤,쥬레곤,쥬레곤,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/128,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,08 1a 03 e9 01 4f,10,True,0x6C,0x4FA6,0x1B0FA6,08 1a 03 e9 01 4f
87,0x58,NATIONAL_DEX_SPECIES,88,질퍽이,질퍽이,질퍽이,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/129,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,08 2a 0a 0c 07 9c,10,True,0x6C,0x4FB0,0x1B0FB0,08 2a 0a 0c 07 9c
88,0x59,NATIONAL_DEX_SPECIES,89,질뻐기,질뻐기,질뻐기,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/131,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,08 2a 05 85 01 b2,10,True,0x6C,0x4FBA,0x1B0FBA,08 2a 05 85 01 b2
89,0x5A,NATIONAL_DEX_SPECIES,90,셀러,셀러,셀러,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/133,https://pokemonkorea.co.kr/pokedex,2026-09-10,4,05 ef 03 df,10,True,0x6C,0x4FC4,0x1B0FC4,05 ef 03 df
90,0x5B,NATIONAL_DEX_SPECIES,91,파르셀,파르셀,파르셀,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/134,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,09 f4 04 33 05 ef,10,True,0x6C,0x4FCE,0x1B0FCE,09 f4 04 33 05 ef
91,0x5C,NATIONAL_DEX_SPECIES,92,고오스,고오스,고오스,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/135,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,01 4d 07 20 06 4a,10,True,0x6C,0x4FD8,0x1B0FD8,01 4d 07 20 06 4a
92,0x5D,NATIONAL_DEX_SPECIES,93,고우스트,고우스트,고우스트,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/136,https://pokemonkorea.co.kr/pokedex,2026-09-10,8,01 4d 07 4c 06 4a 09 de,10,True,0x6C,0x4FE2,0x1B0FE2,01 4d 07 4c 06 4a 09 de
93,0x5E,NATIONAL_DEX_SPECIES,94,팬텀,팬텀,팬텀,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/137,https://pokemonkorea.co.kr/pokedex,2026-09-10,4,0a 02 09 a2,10,True,0x6C,0x4FEC,0x1B0FEC,0a 02 09 a2
94,0x5F,NATIONAL_DEX_SPECIES,95,롱스톤,롱스톤,롱스톤,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/140,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,04 05 06 4a 09 b6,10,True,0x6C,0x4FF6,0x1B0FF6,04 05 06 4a 09 b6
95,0x60,NATIONAL_DEX_SPECIES,96,슬리프,슬리프,슬리프,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/141,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,06 4d 04 3e 0a 61,10,True,0x6C,0x5000,0x1B1000,06 4d 04 3e 0a 61
96,0x61,NATIONAL_DEX_SPECIES,97,슬리퍼,슬리퍼,슬리퍼,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/142,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,06 4d 04 3e 0a 0b,10,True,0x6C,0x500A,0x1B100A,06 4d 04 3e 0a 0b
97,0x62,NATIONAL_DEX_SPECIES,98,크랩,크랩,크랩,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/143,https://pokemonkorea.co.kr/pokedex,2026-09-10,4,09 79 03 d6,10,True,0x6C,0x5014,0x1B1014,09 79 03 d6
98,0x63,NATIONAL_DEX_SPECIES,99,킹크랩,킹크랩,킹크랩,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/144,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,09 87 09 79 03 d6,10,True,0x6C,0x501E,0x1B101E,09 87 09 79 03 d6
99,0x64,NATIONAL_DEX_SPECIES,100,찌리리공,찌리리공,찌리리공,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/146,https://pokemonkorea.co.kr/pokedex,2026-09-10,8,08 8e 04 3e 04 3e 01 68,10,True,0x6C,0x5028,0x1B1028,08 8e 04 3e 04 3e 01 68
100,0x65,NATIONAL_DEX_SPECIES,101,붐볼,붐볼,붐볼,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/148,https://pokemonkorea.co.kr/pokedex,2026-09-10,4,05 35 05 1c,10,True,0x6C,0x5032,0x1B1032,05 35 05 1c
101,0x66,NATIONAL_DEX_SPECIES,102,아라리,아라리,아라리,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/150,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,06 c6 03 c3 04 3e,10,True,0x6C,0x503C,0x1B103C,06 c6 03 c3 04 3e
102,0x67,NATIONAL_DEX_SPECIES,103,나시,나시,나시,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/151,https://pokemonkorea.co.kr/pokedex,2026-09-10,4,02 3a 06 63,10,True,0x6C,0x5046,0x1B1046,02 3a 06 63
103,0x68,NATIONAL_DEX_SPECIES,104,탕구리,탕구리,탕구리,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/153,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,09 91 01 88 04 3e,10,True,0x6C,0x5050,0x1B1050,09 91 01 88 04 3e
104,0x69,NATIONAL_DEX_SPECIES,105,텅구리,텅구리,텅구리,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/154,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,09 a6 01 88 04 3e,10,True,0x6C,0x505A,0x1B105A,09 a6 01 88 04 3e
105,0x6A,NATIONAL_DEX_SPECIES,106,시라소몬,시라소몬,시라소몬,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/156,https://pokemonkorea.co.kr/pokedex,2026-09-10,8,06 63 03 c3 06 02 04 93,10,True,0x6C,0x5064,0x1B1064,06 63 03 c3 06 02 04 93
106,0x6B,NATIONAL_DEX_SPECIES,107,홍수몬,홍수몬,홍수몬,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/157,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,0a ab 06 26 04 93,10,True,0x6C,0x506E,0x1B106E,0a ab 06 26 04 93
107,0x6C,NATIONAL_DEX_SPECIES,108,내루미,내루미,내루미,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/158,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,02 4b 04 17 04 cc,10,True,0x6C,0x5078,0x1B1078,02 4b 04 17 04 cc
108,0x6D,NATIONAL_DEX_SPECIES,109,또가스,또가스,또가스,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/159,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,03 97 01 01 06 4a,10,True,0x6C,0x5082,0x1B1082,03 97 01 01 06 4a
109,0x6E,NATIONAL_DEX_SPECIES,110,또도가스,또도가스,또도가스,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/160,https://pokemonkorea.co.kr/pokedex,2026-09-10,8,03 97 03 15 01 01 06 4a,10,True,0x6C,0x508C,0x1B108C,03 97 03 15 01 01 06 4a
110,0x6F,NATIONAL_DEX_SPECIES,111,뿔카노,뿔카노,뿔카노,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/162,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,05 a4 09 0b 02 8b,10,True,0x6C,0x5096,0x1B1096,05 a4 09 0b 02 8b
111,0x70,NATIONAL_DEX_SPECIES,112,코뿌리,코뿌리,코뿌리,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/163,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,09 3a 05 a1 04 3e,10,True,0x6C,0x50A0,0x1B10A0,09 3a 05 a1 04 3e
112,0x71,NATIONAL_DEX_SPECIES,113,럭키,럭키,럭키,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/164,https://pokemonkorea.co.kr/pokedex,2026-09-10,4,03 e0 09 80,10,True,0x6C,0x50AA,0x1B10AA,03 e0 09 80
113,0x72,NATIONAL_DEX_SPECIES,114,덩구리,덩쿠리,덩쿠리,True,LATEST_OFFICIAL_KOREAN_NAME,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/165,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,03 02 09 4d 04 3e,10,True,0x6C,0x50B4,0x1B10B4,03 02 01 88 04 3e
114,0x73,NATIONAL_DEX_SPECIES,115,캥카,캥카,캥카,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/166,https://pokemonkorea.co.kr/pokedex,2026-09-10,4,09 1b 09 0b,10,True,0x6C,0x50BE,0x1B10BE,09 1b 09 0b
115,0x74,NATIONAL_DEX_SPECIES,116,쏘드라,쏘드라,쏘드라,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/168,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,06 8e 03 45 03 c3,10,True,0x6C,0x50C8,0x1B10C8,06 8e 03 45 03 c3
116,0x75,NATIONAL_DEX_SPECIES,117,시드라,시드라,시드라,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/169,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,06 63 03 45 03 c3,10,True,0x6C,0x50D2,0x1B10D2,06 63 03 45 03 c3
117,0x76,NATIONAL_DEX_SPECIES,118,콘치,콘치,콘치,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/170,https://pokemonkorea.co.kr/pokedex,2026-09-10,4,09 3c 09 01,10,True,0x6C,0x50DC,0x1B10DC,09 3c 09 01
118,0x77,NATIONAL_DEX_SPECIES,119,왕콘치,왕콘치,왕콘치,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/171,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,07 35 09 3c 09 01,10,True,0x6C,0x50E6,0x1B10E6,07 35 09 3c 09 01
119,0x78,NATIONAL_DEX_SPECIES,120,별가사리,별가사리,별가사리,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/172,https://pokemonkorea.co.kr/pokedex,2026-09-10,8,05 10 01 01 05 b7 04 3e,10,True,0x6C,0x50F0,0x1B10F0,05 10 01 01 05 b7 04 3e
120,0x79,NATIONAL_DEX_SPECIES,121,아쿠스타,아쿠스타,아쿠스타,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/173,https://pokemonkorea.co.kr/pokedex,2026-09-10,8,06 c6 09 4d 06 4a 09 88,10,True,0x6C,0x50FA,0x1B10FA,06 c6 09 4d 06 4a 09 88
121,0x7A,NATIONAL_DEX_SPECIES,122,마임맨,마임맨,마임맨,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/175,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,04 46 07 a3 04 67,10,True,0x6C,0x5104,0x1B1104,04 46 07 a3 04 67
122,0x7B,NATIONAL_DEX_SPECIES,123,스라크,스라크,스라크,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/177,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,06 4a 03 c3 09 79,10,True,0x6C,0x510E,0x1B110E,06 4a 03 c3 09 79
123,0x7C,NATIONAL_DEX_SPECIES,124,루주라,루주라,루주라,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/178,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,04 17 08 06 03 c3,10,True,0x6C,0x5118,0x1B1118,04 17 08 06 03 c3
124,0x7D,NATIONAL_DEX_SPECIES,125,에레브,에레브,에레브,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/179,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,07 01 03 e9 05 4a,10,True,0x6C,0x5122,0x1B1122,07 01 03 e9 05 4a
125,0x7E,NATIONAL_DEX_SPECIES,126,마그마,마그마,마그마,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/180,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,04 46 01 a7 04 46,10,True,0x6C,0x512C,0x1B112C,04 46 01 a7 04 46
126,0x7F,NATIONAL_DEX_SPECIES,127,쁘사이저,쁘사이저,쁘사이저,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/181,https://pokemonkorea.co.kr/pokedex,2026-09-10,8,05 aa 05 b7 07 9c 07 ca,10,True,0x6C,0x5136,0x1B1136,05 aa 05 b7 07 9c 07 ca
127,0x80,NATIONAL_DEX_SPECIES,128,켄타로스,켄타로스,켄타로스,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/183,https://pokemonkorea.co.kr/pokedex,2026-09-10,8,09 2b 09 88 03 fe 06 4a,10,True,0x6C,0x5140,0x1B1140,09 2b 09 88 03 fe 06 4a
128,0x81,NATIONAL_DEX_SPECIES,129,잉어킹,잉어킹,잉어킹,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/187,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,07 a7 06 ee 09 87,10,True,0x6C,0x514A,0x1B114A,07 a7 06 ee 09 87
129,0x82,NATIONAL_DEX_SPECIES,130,갸라도스,갸라도스,갸라도스,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/188,https://pokemonkorea.co.kr/pokedex,2026-09-10,8,01 1c 03 c3 03 15 06 4a,10,True,0x6C,0x5154,0x1B1154,01 1c 03 c3 03 15 06 4a
130,0x83,NATIONAL_DEX_SPECIES,131,라프라스,라프라스,라프라스,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/190,https://pokemonkorea.co.kr/pokedex,2026-09-10,8,03 c3 0a 61 03 c3 06 4a,10,True,0x6C,0x515E,0x1B115E,03 c3 0a 61 03 c3 06 4a
131,0x84,NATIONAL_DEX_SPECIES,132,메타몽,메타몽,메타몽,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/192,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,04 7e 09 88 04 99,10,True,0x6C,0x5168,0x1B1168,04 7e 09 88 04 99
132,0x85,NATIONAL_DEX_SPECIES,133,이브이,이브이,이브이,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/193,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,07 9c 05 4a 07 9c,10,True,0x6C,0x5172,0x1B1172,07 9c 05 4a 07 9c
133,0x86,NATIONAL_DEX_SPECIES,134,샤미드,샤미드,샤미드,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/195,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,05 ce 04 cc 03 45,10,True,0x6C,0x517C,0x1B117C,05 ce 04 cc 03 45
134,0x87,NATIONAL_DEX_SPECIES,135,쥬피썬더,쥬피썬더,쥬피썬더,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/196,https://pokemonkorea.co.kr/pokedex,2026-09-10,8,08 1a 0a 67 06 83 02 f5,10,True,0x6C,0x5186,0x1B1186,08 1a 0a 67 06 83 02 f5
135,0x88,NATIONAL_DEX_SPECIES,136,부스터,부스터,부스터,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/197,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,05 2e 06 4a 09 9d,10,True,0x6C,0x5190,0x1B1190,05 2e 06 4a 09 9d
136,0x89,NATIONAL_DEX_SPECIES,137,폴리곤,폴리곤,폴리곤,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/198,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,0a 2a 04 3e 01 4f,10,True,0x6C,0x519A,0x1B119A,0a 2a 04 3e 01 4f
137,0x8A,NATIONAL_DEX_SPECIES,138,암나이트,암나이트,암나이트,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/199,https://pokemonkorea.co.kr/pokedex,2026-09-10,8,06 cf 02 3a 07 9c 09 de,10,True,0x6C,0x51A4,0x1B11A4,06 cf 02 3a 07 9c 09 de
138,0x8B,NATIONAL_DEX_SPECIES,139,암스타,암스타,암스타,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/200,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,06 cf 06 4a 09 88,10,True,0x6C,0x51AE,0x1B11AE,06 cf 06 4a 09 88
139,0x8C,NATIONAL_DEX_SPECIES,140,투구,투구,투구,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/201,https://pokemonkorea.co.kr/pokedex,2026-09-10,4,09 c5 01 88,10,True,0x6C,0x51B8,0x1B11B8,09 c5 01 88
140,0x8D,NATIONAL_DEX_SPECIES,141,투구푸스,투구푸스,투구푸스,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/202,https://pokemonkorea.co.kr/pokedex,2026-09-10,8,09 c5 01 88 0a 3a 06 4a,10,True,0x6C,0x51C2,0x1B11C2,09 c5 01 88 0a 3a 06 4a
141,0x8E,NATIONAL_DEX_SPECIES,142,프테라,프테라,프테라,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/203,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,0a 61 09 a7 03 c3,10,True,0x6C,0x51CC,0x1B11CC,0a 61 09 a7 03 c3
142,0x8F,NATIONAL_DEX_SPECIES,143,잠만보,잠만보,잠만보,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/205,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,07 b1 04 48 05 18,10,True,0x6C,0x51D6,0x1B11D6,07 b1 04 48 05 18
143,0x90,NATIONAL_DEX_SPECIES,144,프리져,프리져,프리져,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/207,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,0a 61 04 3e 07 de,10,True,0x6C,0x51E0,0x1B11E0,0a 61 04 3e 07 de
144,0x91,NATIONAL_DEX_SPECIES,145,썬더,썬더,썬더,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/209,https://pokemonkorea.co.kr/pokedex,2026-09-10,4,06 83 02 f5,10,True,0x6C,0x51EA,0x1B11EA,06 83 02 f5
145,0x92,NATIONAL_DEX_SPECIES,146,파이어,파이어,파이어,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/211,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,09 f4 07 9c 06 ee,10,True,0x6C,0x51F4,0x1B11F4,09 f4 07 9c 06 ee
146,0x93,NATIONAL_DEX_SPECIES,147,미뇽,미뇽,미뇽,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/213,https://pokemonkorea.co.kr/pokedex,2026-09-10,4,04 cc 02 a8,10,True,0x6C,0x51FE,0x1B11FE,04 cc 02 a8
147,0x94,NATIONAL_DEX_SPECIES,148,신뇽,신뇽,신뇽,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/214,https://pokemonkorea.co.kr/pokedex,2026-09-10,4,06 65 02 a8,10,True,0x6C,0x5208,0x1B1208,06 65 02 a8
148,0x95,NATIONAL_DEX_SPECIES,149,망나뇽,망나뇽,망나뇽,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/215,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,04 61 02 3a 02 a8,10,True,0x6C,0x5212,0x1B1212,04 61 02 3a 02 a8
149,0x96,NATIONAL_DEX_SPECIES,150,뮤츠,뮤츠,뮤츠,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/217,https://pokemonkorea.co.kr/pokedex,2026-09-10,4,04 c2 08 f7,10,True,0x6C,0x521C,0x1B121C,04 c2 08 f7
150,0x97,NATIONAL_DEX_SPECIES,151,뮤,뮤,뮤,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/220,https://pokemonkorea.co.kr/pokedex,2026-09-10,2,04 c2,10,True,0x6C,0x5226,0x1B1226,04 c2
151,0x98,NATIONAL_DEX_SPECIES,152,치코리타,치코리타,치코리타,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/221,https://pokemonkorea.co.kr/pokedex,2026-09-10,8,09 01 09 3a 04 3e 09 88,10,True,0x6C,0x5230,0x1B1230,09 01 09 3a 04 3e 09 88
152,0x99,NATIONAL_DEX_SPECIES,153,베이리프,베이리프,베이리프,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/222,https://pokemonkorea.co.kr/pokedex,2026-09-10,8,05 03 07 9c 04 3e 0a 61,10,True,0x6C,0x523A,0x1B123A,05 03 07 9c 04 3e 0a 61
153,0x9A,NATIONAL_DEX_SPECIES,154,메가니움,메가니움,메가니움,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/223,https://pokemonkorea.co.kr/pokedex,2026-09-10,8,04 7e 01 01 02 cf 07 62,10,True,0x6C,0x5244,0x1B1244,04 7e 01 01 02 cf 07 62
154,0x9B,NATIONAL_DEX_SPECIES,155,브케인,브케인,브케인,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/225,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,05 4a 09 29 07 9e,10,True,0x6C,0x524E,0x1B124E,05 4a 09 29 07 9e
155,0x9C,NATIONAL_DEX_SPECIES,156,마그케인,마그케인,마그케인,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/226,https://pokemonkorea.co.kr/pokedex,2026-09-10,8,04 46 01 a7 09 29 07 9e,10,True,0x6C,0x5258,0x1B1258,04 46 01 a7 09 29 07 9e
156,0x9D,NATIONAL_DEX_SPECIES,157,블레이범,블레이범,블레이범,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/227,https://pokemonkorea.co.kr/pokedex,2026-09-10,8,05 4d 03 e9 07 9c 04 fc,10,True,0x6C,0x5262,0x1B1262,05 4d 03 e9 07 9c 04 fc
157,0x9E,NATIONAL_DEX_SPECIES,158,리아코,리아코,리아코,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/229,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,04 3e 06 c6 09 3a,10,True,0x6C,0x526C,0x1B126C,04 3e 06 c6 09 3a
158,0x9F,NATIONAL_DEX_SPECIES,159,엘리게이,엘리게이,엘리게이,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/230,https://pokemonkorea.co.kr/pokedex,2026-09-10,8,07 04 04 3e 01 34 07 9c,10,True,0x6C,0x5276,0x1B1276,07 04 04 3e 01 34 07 9c
159,0xA0,NATIONAL_DEX_SPECIES,160,장크로다일,장크로다일,장크로다일,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/231,https://pokemonkorea.co.kr/pokedex,2026-09-10,10,07 b5 09 79 03 fe 02 d9 07 9f,10,True,0x6C,0x5280,0x1B1280,07 b5 09 79 03 fe 02 d9 07 9f
160,0xA1,NATIONAL_DEX_SPECIES,161,꼬리선,꼬리선,꼬리선,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/233,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,01 ef 04 3e 05 e1,10,True,0x6C,0x528A,0x1B128A,01 ef 04 3e 05 e1
